product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
723e69796165c9cde80c4f791593df74,pet_shop,16.0,1177.0,1.0,200.0,16.0,16.0,12.0
a0b7b660f3ff79836867de402e158770,casa_construcao,35.0,421.0,1.0,11825.0,35.0,31.0,31.0
eeeb2241b2cde4b94bc73dbc8e5c7586,esporte_lazer,45.0,1322.0,2.0,500.0,26.0,16.0,21.0
0cf39ab2d0f594fe612f81d2d90121e8,eletrodomesticos,51.0,142.0,1.0,50.0,27.0,13.0,17.0
0368744ea61d6163219e3bcbbbac3680,beleza_saude,46.0,799.0,1.0,2000.0,30.0,12.0,16.0
80c2ccc80085da41e8c055401fef8e3d,esporte_lazer,57.0,927.0,2.0,10800.0,70.0,39.0,21.0
a79e27ad902bfc67386ea63ed1ef7a08,agro_industria_e_comercio,56.0,93.0,1.0,100.0,16.0,5.0,11.0
9981d5a8b44135a14dffa76e857d2d83,moveis_escritorio,64.0,1291.0,1.0,12500.0,57.0,54.0,21.0
42c0e34ecbd01632df00dc96670c92a0,relogios_presentes,56.0,775.0,2.0,200.0,16.0,11.0,20.0
0e6e319f54e663147c771705ab5dec67,informatica_acessorios,34.0,323.0,1.0,500.0,20.0,7.0,16.0
9386012b71cfdcc82a3fe58df7e8c0c5,cool_stuff,59.0,599.0,2.0,3350.0,45.0,25.0,18.0
60e931f4bf462d9fd360b3d3b1ccaaab,fashion_bolsas_e_acessorios,40.0,793.0,1.0,100.0,16.0,5.0,16.0
31639956e7fac87ecfd9d608040638bd,cool_stuff,38.0,500.0,1.0,5150.0,90.0,4.0,42.0
694cbe624717957c7536ef8cd9dfbf57,telefonia,58.0,678.0,1.0,150.0,17.0,8.0,14.0
742a85d0c5a5b777484c139c7c07bd0d,moveis_decoracao,45.0,258.0,2.0,7000.0,30.0,30.0,30.0
5df044498554dec765264c2cad9804e6,esporte_lazer,49.0,147.0,1.0,650.0,20.0,7.0,14.0
a6413454f8b18d633f57f5ade4de8fdd,cama_mesa_banho,53.0,506.0,4.0,2100.0,45.0,10.0,34.0
c0ea555ff29c50e43c608958cf40880f,brinquedos,39.0,400.0,2.0,325.0,27.0,18.0,11.0
ba091f760e02c4b603a0a6a52c2d31d8,automotivo,52.0,796.0,3.0,11300.0,60.0,60.0,18.0
b88bec07c15c233600f4ce48b7bb44e0,moveis_decoracao,34.0,786.0,5.0,550.0,18.0,35.0,18.0
3ecdc0c6f18cf5c74f2b2e11c23ef462,beleza_saude,48.0,728.0,1.0,450.0,20.0,7.0,17.0
e6d3e381889aa6e9d222ad50cb30ac43,relogios_presentes,36.0,617.0,2.0,480.0,18.0,11.0,14.0
d8173f1b5264436afbac20af6b37402e,cama_mesa_banho,55.0,386.0,1.0,900.0,50.0,5.0,50.0
29ef8f163a85d31f5a88354c0007a6d1,esporte_lazer,48.0,1360.0,1.0,3500.0,25.0,8.0,25.0
a94ba3ccb95b8e55a03e0c8842d1ff8a,relogios_presentes,39.0,434.0,1.0,300.0,18.0,15.0,19.0
cfc4861ae14c9e9e7679355f863c18d4,automotivo,58.0,874.0,5.0,150.0,23.0,3.0,16.0
